"","INDEX","TARGET","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
"22",27,1354,0,48,0,12,31773.1039614925,"No",165090.296410735,"Yes","M","z_High School","Clerical",14.4593232822555,"Commercial",9640,13,"Pickup","no",1212,1,"No",4,1,"Highly Urban/ Urban"
"23",28,2425,0,53,0,6,38035.5834729644,"No",153380.552326357,"Yes","z_F","z_High School","z_Blue Collar",32.1802850477982,"Commercial",13140,1,"z_SUV","no",0,0,"No",4,1,"Highly Urban/ Urban"
"24",29,5711,0,34,3,0,0,"No",66358.2991330047,"Yes","z_F","z_High School","Home Maker",24.5200012643388,"Private",11740,9,"z_SUV","no",1800,2,"No",2,1,"Highly Urban/ Urban"
"25",32,7838,0,33,4,0,0,"Yes",0,"z_No","M","z_High School","Student",13.6628595704618,"Commercial",15090,1,"Minivan","yes",1631,1,"No",2,5,"Highly Urban/ Urban"
"26",33,3660,0,37,0,0,NA,"No",73889.9762381871,"Yes","z_F","Bachelors","Student",48.143336353992,"Commercial",12850,7,"z_SUV","no",0,0,"No",3,6,"Highly Urban/ Urban"
"27",34,5125,0,47,0,11,44705.2128117613,"No",217885.094801663,"Yes","z_F","Bachelors","Professional",50.0889763039761,"Private",12840,1,"z_SUV","no",1533,2,"No",0,10,"Highly Urban/ Urban"
"28",35,5085,0,64,0,15,31738.3562683401,"No",197010.184617801,"Yes","M","<High School","z_Blue Collar",23.2868411699281,"Commercial",14620,6,"z_SUV","no",3994,2,"No",0,1,"Highly Urban/ Urban"
"29",36,2143,0,52,0,7,64013.8163159108,"No",244862.522147894,"Yes","M","<High School","z_Blue Collar",32.7172344451336,"Commercial",7900,4,"Pickup","yes",8882,3,"No",1,5,"Highly Urban/ Urban"
"30",38,4028,0,26,0,8,53244.4128275624,"No",0,"z_No","M","Bachelors","Professional",27.5514024199096,"Commercial",20920,3,"Van","yes",6224,1,"No",1,8,"Highly Urban/ Urban"
"31",40,8671,1,38,1,12,37579.7116479978,"No",173495.322104186,"Yes","z_F","<High School","Clerical",35.8181303057574,"Private",5260,7,"z_SUV","no",867,2,"No",0,1,"Highly Urban/ Urban"
"32",41,6287,0,41,2,15,23344.1670564015,"No",147172.155269212,"Yes","M","z_High School","z_Blue Collar",9.92626960980526,"Private",7930,1,"Pickup","no",0,0,"No",1,1,"Highly Urban/ Urban"
"33",42,3524,0,41,0,12,110386.404427906,"No",335488.106908658,"Yes","M","Masters","",21.159539775971,"Commercial",16640,1,"Van","yes",0,0,"No",2,14,"Highly Urban/ Urban"
"34",43,1807,1,43,2,11,76158.644992453,"Yes",0,"z_No","z_F","Bachelors","Professional",52.4230608361424,"Private",19750,4,"z_SUV","no",0,0,"Yes",0,NA,"Highly Urban/ Urban"
"35",44,10593.9466329068,0,42,0,0,0,"No",NA,"z_No","M","<High School","Student",46.9328403871992,"Commercial",5700,11,"Pickup","yes",0,0,"No",5,1,"Highly Urban/ Urban"
"36",45,6158,0,43,2,15,49848.958167982,"Yes",0,"z_No","z_F","Masters","Lawyer",35.0209705588995,"Private",13130,1,"z_SUV","no",3622,3,"No",4,20,"Highly Urban/ Urban"
"37",46,4887,1,39,1,16,12054.3696717873,"No",0,"Yes","z_F","<High School","Student",28.0662432090372,"Commercial",15760,4,"Pickup","no",1738,2,"Yes",4,1,"Highly Urban/ Urban"
"38",48,2214,0,26,3,9,33283.0924237834,"No",104322.515155391,"Yes","M","Bachelors","z_Blue Collar",37.1604756964198,"Commercial",7690,10,"Pickup","no",0,0,"No",2,16,"Highly Urban/ Urban"
"39",49,6087,0,42,0,12,136343.794696219,"No",0,"z_No","z_F","PhD","Doctor",45.2590458921517,"Private",13160,1,"Sports Car","no",0,0,"No",0,17,"Highly Urban/ Urban"
"40",50,3894,0,39,0,12,32936.1104303277,"No",169721.479556884,"z_No","z_F","z_High School","Clerical",12.4061651586336,"Private",1500,6,"z_SUV","no",0,0,"No",0,7,"Highly Urban/ Urban"
"41",51,2659,1,45,3,0,0,"Yes",0,"z_No","M","z_High School","Home Maker",36.2202516365904,"Private",16510,4,"Minivan","no",17445,3,"Yes",0,1,"Highly Urban/ Urban"
"42",52,3705,0,62,0,12,22181.4842445551,"No",185458.839403549,"z_No","z_F","z_High School","Clerical",23.8234657791754,"Private",17880,7,"Sports Car","no",9873,3,"No",5,1,"Highly Urban/ Urban"
"43",53,6693,0,53,0,15,84345.1801208775,"No",264549.49561804,"Yes","z_F","Bachelors","Manager",35.8243038041287,"Private",9930,4,"z_SUV","no",0,0,"No",3,5,"Highly Urban/ Urban"
"44",54,4380,0,42,0,10,43173.633220042,"No",208811.156995217,"z_No","M","<High School","z_Blue Collar",48.4305553978959,"Commercial",10020,13,"Pickup","yes",0,0,"No",0,1,"Highly Urban/ Urban"
"45",55,1826,0,31,2,14,30652.9422984039,"Yes",0,"z_No","z_F","z_High School","Clerical",41.1907136144785,"Private",12930,13,"Sports Car","no",35666,2,"Yes",0,7,"Highly Urban/ Urban"
"46",56,6716,3,36,4,0,NA,"No",0,"Yes","z_F","z_High School","Student",54.3849506807716,"Private",1500,4,"z_SUV","no",0,0,"No",5,10,"Highly Urban/ Urban"
"47",57,4644,1,45,2,17,111268.311665449,"No",288070.965704441,"Yes","z_F","Masters","Lawyer",46.3994324852663,"Private",24600,1,"Van","no",28026,2,"Yes",2,10,"Highly Urban/ Urban"
"48",58,53571.214081146,0,36,3,11,49703.4249185964,"Yes",253131.899578984,"z_No","M","Masters","",37.3219695031444,"Commercial",42550,1,"Panel Truck","yes",35879,1,"Yes",0,20,"Highly Urban/ Urban"
"49",59,4257,0,53,0,13,25288.5426330542,"No",108139.158597781,"Yes","z_F","<High School","Home Maker",30.8434449258187,"Private",13850,1,"z_SUV","no",0,0,"No",0,7,"Highly Urban/ Urban"
"50",61,2832,0,32,3,13,30955.0178610855,"Yes",111255.543384606,"z_No","z_F","z_High School","Clerical",9.26953582058538,"Private",7800,4,"z_SUV","no",0,0,"Yes",0,8,"Highly Urban/ Urban"
"51",65,4658,1,39,2,15,61369.9036034367,"Yes",0,"z_No","M","Masters","Manager",6.44868504465252,"Commercial",21770,6,"Van","yes",35577,3,"Yes",0,12,"Highly Urban/ Urban"
"52",66,5259,0,54,0,11,44781.815861328,"No",148676.161022357,"z_No","z_F","<High School","Clerical",82.6114527822407,"Private",30260,3,"z_SUV","no",0,0,"No",0,9,"Highly Urban/ Urban"
"53",67,3769,2,45,2,12,30085.3206072886,"No",128193.583452936,"Yes","M","<High School","Clerical",43.6978608934315,"Commercial",7200,4,"Pickup","no",0,0,"Yes",3,8,"Highly Urban/ Urban"
"54",69,4363.23758226515,0,44,0,8,32317.3142051307,"No",0,"z_No","M","z_High School","Clerical",68.3796290675587,"Private",22450,7,"Minivan","yes",3738,1,"No",8,1,"Highly Urban/ Urban"
"55",70,5523,0,47,0,NA,21281.9345312464,"No",0,"Yes","M","z_High School","Student",39.710768516552,"Commercial",18150,1,"Van","no",6544,1,"No",3,NA,"Highly Urban/ Urban"
"56",71,7390.43995881791,0,64,0,13,61521.483267898,"No",248877.720248353,"Yes","z_F","Masters","Lawyer",40.5010021621164,"Private",7650,1,"Sports Car","no",0,0,"No",8,9,"Highly Urban/ Urban"
"57",72,1164.98806622314,0,34,1,9,105554.353725465,"Yes",229868.046425512,"z_No","M","Masters","Lawyer",75.2429745042725,"Private",5300,4,"Minivan","no",7504,2,"No",2,20,"Highly Urban/ Urban"
"58",73,2362,1,42,1,3,69290.2134029355,"Yes",0,"z_No","M","Masters","",30.3542838705195,"Commercial",23900,4,"Panel Truck","yes",1052,2,"No",1,11,"Highly Urban/ Urban"
"59",74,6142,0,NA,2,8,2954.14122112149,"Yes",0,"z_No","z_F","<High School","Clerical",20.6475759517559,"Private",3100,9,"Sports Car","yes",10099,2,"No",4,5,"Highly Urban/ Urban"
"60",77,5075,0,50,0,13,2656.76660180646,"No",109134.022586688,"Yes","z_F","Masters","Home Maker",63.3425436062871,"Private",10480,13,"Sports Car","no",20452,2,"Yes",2,11,"Highly Urban/ Urban"
"61",78,680,0,57,0,12,NA,"No",0,"z_No","z_F","z_High School","Clerical",19.4259017361611,"Private",11650,4,"z_SUV","no",10231,1,"No",0,1,"Highly Urban/ Urban"
"62",79,2287,1,42,2,12,68090.4098254308,"Yes",169854.289038581,"z_No","z_F","Bachelors","z_Blue Collar",44.8309756168705,"Commercial",11750,1,"Minivan","no",9261,1,"No",3,12,"Highly Urban/ Urban"
"63",80,6195,0,45,2,4,25031.7610503813,"Yes",0,"z_No","z_F","z_High School","Clerical",34.089761175807,"Commercial",6100,1,"Pickup","yes",5771,1,"No",5,1,"z_Highly Rural/ Rural"
"64",81,4862,0,54,0,12,52078.3362932146,"No",194226.537076218,"Yes","M","Masters","",51.0454264565714,"Commercial",23250,1,"Panel Truck","yes",5039,1,"No",4,18,"Highly Urban/ Urban"
"65",82,9775.64134234531,0,25,1,9,51544.4331598841,"Yes",NA,"z_No","z_F","z_High School","z_Blue Collar",44.0314992248204,"Commercial",20630,1,"z_SUV","no",7767,2,"No",8,1,"Highly Urban/ Urban"
"66",84,3418,0,29,1,8,73842.014486438,"Yes",0,"z_No","z_F","z_High School","z_Blue Collar",24.5089001408283,"Commercial",22340,1,"Sports Car","no",4769,1,"No",4,1,"Highly Urban/ Urban"
"67",85,4423,1,45,2,0,0,"Yes",0,"z_No","M","<High School","Student",32.5258719903678,"Private",6000,1,"Pickup","no",41818,1,"Yes",3,1,"Highly Urban/ Urban"
"68",86,2328,0,41,1,13,109957.302252974,"No",260748.9074971,"Yes","z_F","Masters","Lawyer",49.8188151481626,"Private",29470,6,"Sports Car","no",0,0,"No",1,18,"Highly Urban/ Urban"
"69",88,6880,0,62,0,12,33712.6495655755,"No",171810.160828161,"Yes","z_F","Bachelors","z_Blue Collar",25.8936877915345,"Commercial",23470,4,"Sports Car","no",41913,3,"Yes",0,15,"Highly Urban/ Urban"
"70",89,3644,0,36,0,13,20891.3731545094,"No",134406.105570107,"Yes","z_F","z_High School","z_Blue Collar",39.4670180380003,"Commercial",5100,1,"z_SUV","no",2949,2,"No",9,7,"Highly Urban/ Urban"
"71",90,4758,0,35,2,10,17492.7664481582,"Yes",102902.35867163,"z_No","z_F","<High School","Clerical",51.7929795532468,"Private",19340,9,"Minivan","no",5658,3,"No",7,1,"Highly Urban/ Urban"
"72",91,4875,0,45,3,14,94324.7828417027,"No",301739.133946928,"Yes","M","Masters","Lawyer",55.3193769618213,"Private",6960,1,"z_SUV","no",0,0,"No",2,14,"Highly Urban/ Urban"
"73",93,5395,0,32,2,9,60049.8301724473,"Yes",212562.468641514,"z_No","z_F","z_High School","Clerical",30.7493740117594,"Private",11480,1,"Minivan","no",17493,4,"Yes",2,1,"Highly Urban/ Urban"
"74",94,5021,2,39,2,11,NA,"Yes",0,"z_No","z_F","Bachelors","Manager",15.6248171760833,"Private",22920,1,"Sports Car","no",0,0,"No",0,10,"Highly Urban/ Urban"
"75",95,2891.10284996916,0,32,4,15,4478.34153054629,"Yes",0,"z_No","z_F","<High School","Student",7.47245540352843,"Private",6780,4,"z_SUV","no",7181,3,"No",5,8,"Highly Urban/ Urban"
"76",96,3149,0,35,0,7,62036.4636704451,"No",154297.297980905,"Yes","M","z_High School","z_Blue Collar",5,"Commercial",16370,4,"Van","yes",3913,2,"No",7,1,"Highly Urban/ Urban"
"77",97,3602,0,64,0,15,40528.1527766265,"No",208305.666909914,"Yes","z_F","z_High School","z_Blue Collar",53.512571323616,"Commercial",11950,7,"Sports Car","no",5137,1,"No",6,6,"Highly Urban/ Urban"
"78",99,2449,0,44,1,11,75045.6207669624,"No",244818.898830455,"Yes","M","z_High School","z_Blue Collar",56.3381089293193,"Commercial",9000,4,"Pickup","yes",3288,3,"No",6,10,"Highly Urban/ Urban"
"79",100,3259,0,40,1,12,39599.5717228885,"Yes",193494.636520671,"z_No","z_F","z_High School","Clerical",36.8512213467445,"Private",5460,1,"Sports Car","no",4188,2,"No",5,1,"Highly Urban/ Urban"
"80",101,21823.0783449172,0,38,0,10,75431.9572275375,"No",0,"z_No","z_F","Bachelors","Manager",50.6908306240196,"Private",16260,1,"z_SUV","no",8035,3,"No",0,13,"Highly Urban/ Urban"
"81",102,3085,0,43,1,0,0,"Yes",86117.5593329594,"z_No","z_F","<High School","Home Maker",40.9560327006017,"Private",14240,4,"z_SUV","no",0,0,"No",1,1,"Highly Urban/ Urban"
"82",103,3593,0,55,0,0,0,"No",68500.3817240289,"Yes","z_F","Bachelors","Home Maker",10.7007880718548,"Private",8560,6,"Sports Car","no",3769,2,"No",5,14,"Highly Urban/ Urban"
"83",104,457.556364549431,0,54,0,12,10616.8742342943,"No",0,"Yes","M","z_High School","Student",13.7490428687769,"Commercial",7960,10,"Pickup","no",1079,2,"No",2,9,"Highly Urban/ Urban"
"84",105,6143,0,46,0,8,140765.755289456,"No",375813.347031223,"z_No","M","Masters","",41.0169916839215,"Commercial",29220,13,"Panel Truck","yes",0,0,"No",1,13,"Highly Urban/ Urban"
"85",108,5619.22856456791,0,42,2,11,34210.3123299157,"No",186734.261324265,"Yes","M","z_High School","Clerical",34.0324405971885,"Private",12880,6,"Minivan","yes",1830,1,"No",0,1,"Highly Urban/ Urban"
"86",109,1766,0,46,0,NA,31176.8312933644,"No",150101.535488334,"z_No","M","z_High School","Professional",40.7344811374798,"Commercial",25420,9,"Panel Truck","no",0,0,"No",1,1,"Highly Urban/ Urban"
"87",110,2262,0,51,0,13,65702.1454689459,"No",0,"z_No","z_F","Masters","Lawyer",26.823629937786,"Private",15820,1,"z_SUV","no",7181,2,"No",3,1,"Highly Urban/ Urban"
"88",111,40151.7069676721,0,58,0,11,51869.7169117456,"No",0,"z_No","M","<High School","z_Blue Collar",35.573971542854,"Commercial",24520,4,"Panel Truck","yes",0,0,"Yes",5,1,"Highly Urban/ Urban"
"89",112,1237,0,41,0,14,99959.1505204581,"No",268154.20177472,"z_No","z_F","Masters","Lawyer",13.1434329961013,"Private",18850,6,"Minivan","no",0,0,"No",1,11,"Highly Urban/ Urban"
"90",114,1650,1,37,2,0,0,"Yes",0,"z_No","z_F","<High School","Student",18.4627636716202,"Private",1500,3,"z_SUV","no",0,0,"No",3,1,"Highly Urban/ Urban"
"91",115,14833.6149035666,0,49,0,13,28591.8517266281,"No",183205.868579353,"Yes","M","<High School","Clerical",31.4518438286817,"Commercial",9260,1,"Pickup","no",39892,3,"Yes",6,1,"Highly Urban/ Urban"
"92",116,1796,0,42,2,13,64766.0651181951,"No",263986.331407478,"Yes","z_F","z_High School","z_Blue Collar",20.3819843883768,"Commercial",11840,18,"z_SUV","no",44414,1,"Yes",1,1,"Highly Urban/ Urban"
"93",117,4057,1,37,2,11,62426.3955402955,"No",209547.912052517,"Yes","z_F","Bachelors","Manager",19.9913589960694,"Private",11440,13,"z_SUV","no",981,1,"No",0,NA,"Highly Urban/ Urban"
"94",118,5177,0,25,1,12,40094.8104097833,"Yes",0,"z_No","M","z_High School","Clerical",37.8867953524534,"Commercial",22720,3,"Panel Truck","yes",1992,2,"No",6,9,"Highly Urban/ Urban"
"95",119,5287,1,40,2,7,52423.1808159506,"No",150722.940795702,"Yes","z_F","z_High School","z_Blue Collar",29.8031405546436,"Private",7420,6,"Sports Car","no",0,0,"No",2,1,"Highly Urban/ Urban"
"96",121,3008,0,54,0,NA,62214.7547949659,"No",244459.944401604,"Yes","z_F","z_High School","z_Blue Collar",29.8097693034199,"Commercial",21840,1,"Sports Car","no",6600,2,"No",3,5,"Highly Urban/ Urban"
"97",122,3943,0,49,0,8,37356.3376984323,"No",133175.374476583,"Yes","M","z_High School","z_Blue Collar",63.2690323820249,"Commercial",6400,1,"Pickup","yes",7993,1,"No",7,6,"Highly Urban/ Urban"
"98",124,5363,0,37,3,17,6216.7757793274,"No",0,"Yes","z_F","z_High School","Student",27.4907235784999,"Commercial",22260,10,"Pickup","no",0,0,"Yes",0,4,"Highly Urban/ Urban"
"99",127,2872,0,40,0,5,57062.7885929552,"No",0,"z_No","z_F","Masters","Professional",45.7850938937888,"Private",16250,10,"Sports Car","no",0,0,"No",0,19,"Highly Urban/ Urban"
"100",130,4579,0,46,0,7,106408.595629096,"No",0,"z_No","z_F","Masters","",42.3764699298641,"Commercial",24410,6,"Pickup","no",6948,1,"No",0,18,"Highly Urban/ Urban"
"101",132,4997,1,72,2,18,27624.535791424,"No",162414.506749313,"Yes","z_F","<High School","Clerical",31.7555462689156,"Private",18960,6,"Sports Car","no",8571,1,"No",8,1,"Highly Urban/ Urban"
"102",133,8662,2,36,3,13,28326.2948213017,"No",145411.346338529,"Yes","z_F","<High School","Clerical",36.9747007676453,"Commercial",26280,7,"Pickup","no",39535,3,"Yes",2,8,"Highly Urban/ Urban"
"103",134,5952,0,63,0,15,26921.0749957958,"No",140455.271921883,"Yes","z_F","Bachelors","Manager",19.3707184853843,"Private",14360,1,"z_SUV","no",30288,1,"Yes",2,11,"Highly Urban/ Urban"
"104",136,5440,0,35,0,13,64487.8934978222,"No",NA,"Yes","M","z_High School","z_Blue Collar",37.4684950126645,"Commercial",21820,1,"Van","yes",1144,3,"No",5,7,"Highly Urban/ Urban"
"105",137,7719,0,33,2,9,31675.2152716062,"No",159621.493099963,"Yes","z_F","z_High School","z_Blue Collar",24.8814408283149,"Commercial",9130,7,"Sports Car","no",32882,1,"Yes",6,1,"Highly Urban/ Urban"
"106",138,8289,1,39,2,7,66367.4047656317,"No",NA,"Yes","z_F","z_High School","z_Blue Collar",35.1727502705058,"Commercial",5560,1,"Sports Car","no",2949,2,"No",3,1,"Highly Urban/ Urban"
"107",139,2353,0,56,2,17,29523.5222473583,"No",198106.86421157,"Yes","z_F","<High School","z_Blue Collar",52.0080433950426,"Private",14250,14,"z_SUV","no",0,0,"No",1,7,"Highly Urban/ Urban"
"108",140,2289,0,41,0,6,86227.0511568615,"No",237057.473639544,"z_No","M","Masters","",28.1742766889795,"Commercial",19530,9,"Van","no",2948,3,"No",2,17,"Highly Urban/ Urban"
"109",142,3428,0,42,0,8,94591.1842801509,"No",309643.675983102,"z_No","M","<High School","z_Blue Collar",20.8216731704601,"Commercial",17470,6,"Van","yes",16121,3,"Yes",3,8,"Highly Urban/ Urban"
"110",143,4898,0,33,0,11,248.614531960712,"No",0,"z_No","z_F","z_High School","Student",30.1681329430076,"Private",10590,11,"z_SUV","no",0,0,"No",1,11,"Highly Urban/ Urban"
"111",144,4046,2,41,3,10,24861.5348995641,"Yes",0,"z_No","z_F","Bachelors","Student",26.0833426267823,"Private",7790,1,"Sports Car","no",1055,4,"No",2,10,"z_Highly Rural/ Rural"
"112",145,2812,0,50,0,0,0,"No",113869.546866705,"Yes","z_F","z_High School","Home Maker",12.0253043900165,"Private",6500,6,"Sports Car","no",0,0,"No",0,NA,"Highly Urban/ Urban"
"113",146,5050,0,41,3,11,NA,"No",159060.692330606,"Yes","z_F","z_High School","Professional",34.5130545922811,"Private",9170,6,"z_SUV","no",0,0,"No",0,8,"Highly Urban/ Urban"
"114",149,46858.30690545,0,43,0,13,22623.0129053122,"No",184773.186495355,"Yes","M","z_High School","Professional",14.8097613562667,"Private",8060,1,"Pickup","yes",0,0,"No",2,1,"Highly Urban/ Urban"
"115",150,2058,0,51,0,12,40759.527704719,"No",186222.626489461,"z_No","M","Bachelors","Professional",24.4516015518266,"Private",11880,1,"Pickup","no",0,0,"No",0,8,"Highly Urban/ Urban"
"116",152,4313,0,27,3,9,69793.5583222825,"Yes",0,"z_No","z_F","Bachelors","Professional",24.297439279114,"Private",14660,4,"z_SUV","no",2848,1,"No",3,6,"Highly Urban/ Urban"
"117",153,1736,0,33,1,11,25544.2197009783,"Yes",0,"z_No","z_F","<High School","z_Blue Collar",29.0460368797493,"Private",4050,1,"Sports Car","no",3971,2,"No",0,1,"Highly Urban/ Urban"
"118",154,4257,1,42,2,15,85408.0581457176,"No",274402.426304558,"Yes","z_F","z_High School","z_Blue Collar",32.316768074479,"Commercial",20170,10,"Minivan","no",697,2,"No",0,8,"Highly Urban/ Urban"
"119",155,3492,0,55,0,11,3864.52657453623,"No",0,"z_No","z_F","<High School","Home Maker",26.6466088176033,"Private",16600,1,"z_SUV","no",6089,2,"Yes",0,1,"Highly Urban/ Urban"
"120",158,3722,0,54,0,12,65298.1093931493,"No",213225.444793193,"Yes","z_F","z_High School","Clerical",5,"Private",8030,17,"z_SUV","no",4528,3,"No",5,1,"Highly Urban/ Urban"
"121",159,6827,0,39,0,6,NA,"No",0,"z_No","z_F","Masters","Lawyer",51.4050310281481,"Private",12880,3,"Minivan","no",0,0,"Yes",0,NA,"z_Highly Rural/ Rural"
"122",160,1842.2108930872,0,27,4,13,50138.5219234917,"No",167989.797759934,"Yes","z_F","z_High School","z_Blue Collar",21.6486973491705,"Private",9210,1,"z_SUV","no",1271,2,"No",3,1,"Highly Urban/ Urban"
"123",161,8798,0,47,0,NA,92543.4273297486,"No",236446.239327028,"Yes","M","Masters","",51.694914803234,"Commercial",25250,6,"Panel Truck","no",30450,2,"Yes",4,9,"Highly Urban/ Urban"
"124",162,5636,0,37,0,6,53895.2852764422,"No",161773.98543912,"Yes","M","Bachelors","Clerical",44.2275390352456,"Commercial",11250,17,"Pickup","no",0,0,"No",0,11,"Highly Urban/ Urban"
"125",163,3414,0,43,2,12,60972.962164136,"Yes",0,"z_No","z_F","Bachelors","z_Blue Collar",55.6996171653525,"Commercial",5800,1,"Sports Car","no",0,0,"Yes",1,8,"Highly Urban/ Urban"
"126",164,7161,0,36,0,10,85730.5180936214,"No",0,"z_No","z_F","Bachelors","z_Blue Collar",13.4062135360288,"Commercial",21660,10,"Pickup","no",4002,2,"No",1,3,"Highly Urban/ Urban"
"127",165,26305.2605253618,0,47,0,0,0,"No",0,"Yes","M","z_High School","Student",35.2690371674489,"Commercial",11610,7,"Pickup","yes",19545,1,"Yes",0,1,"z_Highly Rural/ Rural"
"128",166,5717,1,42,2,11,14166.1868250379,"Yes",0,"z_No","z_F","<High School","Student",36.0758901233145,"Private",23280,6,"Minivan","no",0,0,"No",3,5,"Highly Urban/ Urban"
"129",167,4306,0,31,2,0,0,"No",0,"Yes","z_F","<High School","Student",47.9966415898905,"Private",7740,4,"Sports Car","no",7323,1,"No",7,1,"Highly Urban/ Urban"
"130",168,1813,2,36,2,0,0,"No",110346.220685091,"Yes","z_F","z_High School","Home Maker",28.2148523517163,"Private",5100,4,"Minivan","no",39425,3,"Yes",1,9,"Highly Urban/ Urban"
"131",169,2463,1,57,2,0,0,"No",0,"Yes","M","z_High School","Student",28.8595495693349,"Private",9240,1,"Pickup","yes",8336,2,"Yes",5,1,"Highly Urban/ Urban"
"132",170,465.004684987787,0,47,0,15,91221.1217958862,"No",263877.231836094,"Yes","z_F","Bachelors","z_Blue Collar",30.6667023784353,"Commercial",1500,4,"Sports Car","no",5385,2,"No",2,7,"Highly Urban/ Urban"
